"Type","Sex","First Name","Last Name","Email","Initials","Mobile Phone","Callsign","Skills","Organisation","Office Phone","Address"," Home Postcode"," Home Country"," Home L1"," Home L2"," Home L3"," Home L4"," Home Lat"," Home Lon","Teams","Job Title"
"volunteer","male","Christopher","Heineman","user33@culvercitycert.com","CM","(310)555-2377","KX-TEST1","Ham Radio Operator","Culver City CERT",,"8965 Carson St. ","90230","United States","California","Los Angeles","Culver City"," Rancho Higuera",,,"Team1","Trainee"
"volunteer","male","Andy","Sakai","user8@culvercitycert.com","AJ","(310)555-2352","KX-TEST2","Ham Radio Operator","Culver City CERT",,"4228 Lafayette Pl. ","90230","United States","California","Los Angeles","Culver City"," Downtown",,,"Team2","Trainee"
"staff","female","Christine","Rathan","user35@culvercitycert.com","CR","(310)555-2379","KX-TEST3","Ham Radio Operator","Culver City Fire Dept",,"3040 Delaware  ","90230","United States","California","Los Angeles","Santa Monica"," Downtown",,,"Team1,Team2","Trainee"
"volunteer",,"Ai","Grimes","user21@culvercitycert.com","AM","(310)555-2365","KX-TEST4","Ham Radio Operator","Culver City CERT",,"3833 Perham Dr. ","90230","United States","California","Los Angeles","Culver City"," Blair Hills",,,,"Trainee"
"volunteer","male","Carl","Cardenas","user31@culvercitycert.com","CF","(310)555-2375","KX-TEST5","Ham Radio Operator","Culver City CERT",,"4328 Le Bourget Ave.","90230","United States","California","Los Angeles","Culver City"," Carlson Park",,,,"Trainee"
"volunteer","male","Jim","Paul","user53@culvercitycert.com","JP","(310)555-2397","KX-TEST6","Ham Radio Operator","Culver City CERT",,"4233 Lafayette Pl. ","90230","United States","California","Los Angeles","Culver City"," Downtown",,,,"Trainee"
"volunteer","female","Caroline","O_Neal","user29@culvercitycert.com","CB","(310)555-2373","KX-TEST7","Ham Radio Operator","Culver City CERT",,"4032 Madison Ave. #106","90230","United States","California","Los Angeles","Culver City"," East Carlson",,,,"Trainee"
"volunteer",,"Pam","Baxendale","user30@culvercitycert.com","PT","(310)555-2374","KX-TEST8","Ham Radio Operator","Culver City CERT",,"4142 Motor Ave. ","90230","United States","California","Los Angeles","Culver City"," Carlson Park",,,,"Trainee"
"volunteer","male","Dick","Dailey","user16@culvercitycert.com","DJ","(310)555-2360","KX-TEST9","Ham Radio Operator","Culver City CERT",,"4279 Jasmine Ave. ","90230","United States","California","Los Angeles","Culver City"," Carlson Park",,,,"Trainee"
"volunteer","male","Randy","Li","user1@culvercitycert.com","RE","(310)555-2345",,,"Culver City CERT",,"4142 Motor Ave. ","90230","United States","California","Los Angeles","Culver City"," Carlson Park",,,,"Trainee"
"volunteer","male","Adrian","Lundquist","user2@culvercitycert.com","AP","(310)555-2346",,,"Culver City CERT",,"4163 Keystone Ave. ","90230","United States","California","Los Angeles","Culver City"," Carlson Park",,,,"Team Leader"
"volunteer","female","Ada","Finn","user3@culvercitycert.com","AF","(310)555-2347",,,"Culver City CERT",,"8222 Raintree Cir. ","90230","United States","California","Los Angeles","Culver City"," RainTree",,,,"Team Leader"
"volunteer","male","Adam","Reichel","user4@culvercitycert.com","AG","(310)555-2348",,,"Culver City CERT",,"9116 39448 Cattaraugus Ave.","90230","United States","California","Los Angeles","Culver City"," Eastside",,,,"Team Leader"
"volunteer","male","Charles","Robinson","user5@culvercitycert.com","CB","(310)555-2349",,,"Culver City CERT",,"10513 Venice Blvd. ","90230","United States","California","Los Angeles","Culver City"," North of Sony",,,,"Team Leader"
